index,gender,Annual_income,income_type,Education,family_type,house_type,DAYS_BIRTH,working_day,FLAG_MOBIL,work_phone,phone,email,occyp_type,begin_month,car_reality,credit
0,F,202500.0,Commercial associate,Higher education,Married,Municipal apartment,-13899,-4709,1,0,0,0,,-6.0,0,1.0
1,F,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,1,0,0,1,Laborers,-5.0,1,1.0
2,M,450000.0,Working,Higher education,Married,House / apartment,-19087,-4434,1,0,1,0,Managers,-22.0,2,2.0
3,F,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15088,-2092,1,0,1,0,Sales staff,-37.0,1,0.0
4,F,157500.0,State servant,Higher education,Married,House / apartment,-15037,-2105,1,0,0,0,Managers,-26.0,2,2.0
5,F,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13413,-4996,1,0,0,1,High skill tech staff,-18.0,1,1.0
6,F,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-17570,-1978,1,0,0,1,Core staff,-41.0,0,2.0
7,M,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14896,-5420,1,0,0,1,Drivers,-53.0,1,0.0
8,M,180000.0,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,1,0,0,1,,-38.0,2,2.0
9,F,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15785,-1308,1,0,0,0,Medicine staff,-5.0,1,2.0
10,F,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,1,Laborers,-40.0,1,2.0
11,M,135000.0,Commercial associate,Higher education,Married,House / apartment,-11759,-91,1,0,0,0,Managers,-51.0,2,2.0
12,F,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,1,0,0,0,Accountants,-60.0,2,0.0
13,F,135000.0,Working,Higher education,Married,House / apartment,-9887,-2474,1,0,1,0,Sales staff,-41.0,0,2.0
14,F,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22922,0,1,0,1,0,,-41.0,1,2.0
15,M,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,1,0,1,0,Drivers,-60.0,2,0.0
16,M,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,1,0,1,0,Laborers,-2.0,1,1.0
17,M,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-8853,-984,1,0,0,1,Sales staff,-14.0,0,2.0
18,F,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23113,0,1,0,0,0,,-37.0,1,2.0
19,F,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,1,0,0,0,,-7.0,1,2.0
20,M,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-1753,1,0,1,0,,-35.0,0,2.0
